English,French,Spanish,ISO 3166 alpha 3 code
Australia,Australie,Australia,AUS
Austria,Autriche,Austria,AUT
Belgium,Belgique,"Belgica, Bélgica",BEL
Canada,Canada,"Canada, Canadá",CAN
Chile,Chili,Chile,CHL
Czech Republic,"Republique Tcheque, République Tchèque",Republica Checa,CZE
Denmark,Danemark,Dinamarca,DNK
Estonia,Estonie,Estonia,EST
Finland,Finlande,Finlandia,FIN
France,France,Francia,FRA
Germany,Allemagne,Alemania,DEU
Greece,"Grece, Grèce",Grecia,GRC
Hungary,Hongrie,"Hungria, Hungría",HUN
Iceland,Islande,Islandia,ISL
Ireland,Irlande,Irlanda,IRL
Israel,"Israel, Israël",Israel,ISR
Italy,Italie,Italia,ITA
Japan,Japon,"Japon, Japón",JPN
Latvia,Lettonie,Letonia,LVA
Lithuania,Lituanie,Lituania,LTU
Luxembourg,Luxembourg,Luxemburgo,LUX
Mexico,Mexique,"Mexico, México",MEX
Netherlands,Pays-Bas,"Paises Bajos, Países Bajos",NLD
New Zealand,"Nouvelle-Zelande, Nouvelle-Zélande",Nueva Zelanda,NZL
Norway,"Norvege, Norvège",Noruega,NOR
Poland,Pologne,Polonia,POL
Portugal,Portugal,Portugal,PRT
Slovak Republic,"Republique Slovaque, République Slovaque",Republica Eslovaca,SVK
Slovenia,"Slovenie, Slovénie",Eslovenia,SVN
South Korea,"Coree du Sud, Corée du Sud",Corea del Sur,KOR
Spain,Espagne,"Espana, España",ESP
Sweden,"Suede, Suède",Suecia,SWE
Switzerland,Suisse,Suiza,USA
Turkey,Turquie,"Turquia, Turquía",TUR
"United Kingdom, UK",Royaume-Uni,Reino Unido,GBR
"United States, USA","Etats-Unis, États-Unis",Estados Unidos,USA
